date,without_mirrors,with_mirrors
2026-06-21,232,687
2026-06-22,444,1422
2026-06-23,220,871
2026-06-24,740,2472
2026-06-25,289,1114
2026-06-26,330,1032
2026-06-27,990,3327
2026-06-28,1646,5473
2026-06-29,732,2740
2026-06-30,691,2355
2026-07-01,1235,3610
2026-07-02,1000,3233
2026-07-03,781,1725
2026-07-04,620,1647
2026-07-05,460,1562
2026-07-06,942,2039
2026-07-07,911,2226
2026-07-08,843,3142
2026-07-09,1584,4891
2026-07-10,1085,2581
2026-07-11,558,1701
2026-07-12,98,827
2026-07-13,179,608
2026-07-14,324,1433
2026-07-15,108,466
2026-07-16,149,1795
2026-07-17,115,1154
2026-07-18,176,508
2026-07-19,35,420
2026-07-20,105,545
2026-07-21,189,269
2026-07-22,264,277
2026-07-23,55,76
2026-07-24,132,862
2026-07-25,54,120
2026-07-26,364,624
2026-07-27,19,97
2026-07-28,133,571
2026-07-29,440,1383
2026-07-30,55,461
2026-07-31,24,104
2026-08-01,43,322
2026-08-02,261,447
2026-08-03,31,118
2026-08-04,35,453
2026-08-05,20,392
2026-08-06,159,386
2026-08-07,33,427
2026-08-08,41,87
2026-08-09,26,55
2026-08-10,40,54
